곡 명, 아티스트, 작곡가, 작사가, 편곡자, 스트리밍 수, 좋아요 수, 발매시점, 기획사, 발매사, 장르, 재생시간
지독하게, FTISLAND (FT아일랜드), Dokkun (김도훈) & 이상호 (RBW), 한성호, 이상호 (RBW), 7706305, 7425, 2012.01.31, FNC엔터테인먼트, 카카오엔터테인먼트, 가요 / 락, 04:11
MONSTER, BIGBANG (빅뱅), G-DRAGON & 최필강, G-DRAGON, 최필강 & DEE.P, 6581532, 6881, 2012.06.03, (주)YG엔터테인먼트, YG PLUS, 가요 / 댄스, 03:51
방구석 날라리, 처진 달팽이 (유재석 & 이적), 이적, 이적, , 519819, 551, 2012.07.06, 뮤직팜, 카카오엔터테인먼트, 가요 / 댄스, 03:26
니가 필요해 (I Need You), 케이윌 (K.Will), , Dokkun (김도훈), , 12055465, 9433, 2012.02.14, 스타쉽 엔터테인먼트, 카카오엔터테인먼트, 가요 / 발라드, 03:37
빙글빙글, 티아라 (T-ara), , , , 1004639, 790, 2012.05.23, 코어컨텐츠미디어, ㈜다날엔터테인먼트, 가요 / 댄스, 03:45
이상형, 버스커 버스커 (Busker Busker), , , , 3539677, 2591, 2012.03.29, Stone Music Entertainment, 지니뮤직, 가요 / 락, 03:24
정말로 사랑한다면, 버스커 버스커 (Busker Busker), , 장범준, , 13617623, 12403, 2012.06.21, Stone Music Entertainment, 지니뮤직, 가요 / 락, 04:14
별, 박재범, 전군, 전군, , 604916, 842, 2011.12.28, ㈜아이에이치큐 (iHQ), 지니뮤직 &  Stone Music Entertainment, 가요 / R&B/소울, 03:12
이러지마 제발 (Please Don't...), 케이윌 (K.Will), , Dokkun (김도훈), , 13396819, 10330, 2012.10.11, 스타쉽 엔터테인먼트, 카카오엔터테인먼트, 가요 / 발라드, 03:33
Flashback, 애프터스쿨 (After School), , , , 1560941, 1316, 2012.06.20, 플레디스 엔터테인먼트, 카카오엔터테인먼트, 가요 / 댄스, 03:16
2HOT, 지나, 이현승 & Dokkun (김도훈), 최갑원, , 1826034, 1430, 2012.05.22, 큐브 엔터테인먼트, 카카오엔터테인먼트, 가요 / 댄스, 03:04
촌스러워서, 이현, 제피 (Xepy) & 원더키드(Wonderkid) & 김태윤 & 방시혁, 방시혁 & 김태윤, , 269080, 287, 2012.10.05, 쏘스뮤직, 지니뮤직 &  Stone Music Entertainment, 가요 / 발라드, 03:28
My Son, 유승우, , 최준영, , 789704, 891, 2012.10.15, Stone Music Entertainment, 지니뮤직, 가요 / 전체, 03:22
HUSH, Apink (에이핑크), 라도 & 전혜원, 라도 & 전혜원, 라도 & 전혜원, 3293585, 3276, 2012.05.09, 에이큐브 엔터테인먼트, 카카오엔터테인먼트, 가요 / 댄스, 03:30
Lovey-Dovey, 티아라 (T-ara), , 신사동호랭이 & 최규성, , 6193291, 4462, 2012.01.03, Beyond Music, Dreamus, 가요 / 댄스, 03:35
She's Gone, 디셈버 (December), , , , 5112333, 3997, 2012.05.01, 씨에스해피엔터테인먼트, (주)씨에스해피엔터테인먼트, 가요 / 발라드, 03:51
너도 나처럼, 2am, , Dokkun (김도훈), , 2300812, 2569, 2012.03.12, (주)JYP엔터테인먼트 &  빅히트엔터테인먼트, Dreamus, 가요 / 발라드, 03:49
광대 (Feat. 김범수), 박명수, , 길 (리쌍) & 박상혁, , 331830, 345, 2012.01.07, MBC (문화방송), 지니뮤직, 가요 / 랩/힙합, 04:17
전쟁이야, 엠블랙 (MBLAQ), , 이단옆차기, , 1025431, 1245, 2012.01.10, 더라임라이트뮤직컨설팅, 오감엔터테인먼트, 가요 / 댄스, 03:51
STILL ALIVE, BIGBANG (빅뱅), G-DRAGON & TEDDY & DEE.P, G-DRAGON & TEDDY & T.O.P, DEE.P, 2719191, 3543, 2012.06.03, (주)YG엔터테인먼트, YG PLUS, 가요 / 댄스, 03:19
겸손은 힘들어, 리쌍 (Leessang), 조영남, 조영남 & 개리, , 1310902, 1176, 2012.05.25, ㈜정글 엔터테인먼트, Dreamus, 가요 / 랩/힙합, 03:57
허수아비, 이하이, 박진영, 박진영, , 3552995, 5904, 2012.11.22, (주)YG엔터테인먼트, YG PLUS, 가요 / R&B/소울, 04:23
너뿐이야 (You're The One), 박진영, , 박진영, , 3372546, 3083, 2012.04.29, (주)JYP엔터테인먼트, Dreamus, 가요 / R&B/소울, 03:23
POISON, 시크릿 (Secret), 김기범 & 강지원, 강지원 & 김기범, , 1632696, 1365, 2012.09.13, (주)RBW, (주)래드컴, 가요 / 댄스, 03:25
안좋을때 들으면 더 안좋은 노래, 형돈이와 대준이, , , , 1696337, 2455, 2012.06.05, 디아이뮤직, 카카오엔터테인먼트, 가요 / 랩/힙합, 03:53
어땠을까 (Feat. 박정현), 싸이 (Psy), 싸이 (Psy), , 싸이 (Psy) & 유건형, 28546473, 23841, 2012.07.15, (주)YG엔터테인먼트, YG PLUS, 가요 / 댄스, 04:04
SPY, SUPER JUNIOR (슈퍼주니어), , , , 707489, 1600, 2012.08.05, SM ENTERTAINMENT, Dreamus, 가요 / 댄스, 03:13
있기 없기, Dal★Shabet, , Dokkun (김도훈), , 1755521, 1407, 2012.11.13, Stone Music Entertainment, 지니뮤직, 가요 / 댄스, 03:35
UP (Feat. 박봄 of 2NE1), 에픽하이 (EPIK HIGH), 타블로 & DEE.P, , , 1577769, 1697, 2012.10.19, (주)YG엔터테인먼트, YG PLUS, 가요 / 랩/힙합, 03:43
Like this, 원더걸스, 박진영, 박진영, , 3659948, 3145, 2012.06.03, (주)JYP엔터테인먼트, Dreamus, 가요 / 댄스, 03:13
춥다 (Feat. 이하이), 에픽하이 (EPIK HIGH), 타블로 & 최필강, , , 5573699, 6777, 2012.10.19, (주)YG엔터테인먼트, YG PLUS, 가요 / 랩/힙합, 04:11
Sherlock.셜록 (Clue＋Note), SHINee (샤이니), , , , 1724245, 1461, 2012.08.10, SM ENTERTAINMENT, Dreamus, 가요 / 전체, 03:57
I'm Da One (Feat. Zion.T), 조권, 원더키드(Wonderkid) & 방시혁 & PDOGG, , , 295477, 301, 2012.06.25, (주)JYP엔터테인먼트 &  빅히트엔터테인먼트, Dreamus, 가요 / 댄스, 03:14
보여줄게, 에일리 (Ailee), Dokkun (김도훈) & 이현승, 강은경, 이현승 & 노주환, 15269538, 13671, 2012.10.16, YMC엔터테인먼트㈜, 카카오엔터테인먼트, 가요 / 락, 03:52
Ice Cream (Feat. Maboos), 현아, , 용감한형제 & 코끼리왕국, , 2876662, 2063, 2012.10.21, 큐브 엔터테인먼트, 카카오엔터테인먼트, 가요 / 댄스, 03:16
남자가 다 그렇지 뭐, 김종국, 귓방망이, 귓방망이 & 김종국, , 1217913, 1155, 2012.11.01, JK엔터테인먼트 &  Stone Music Entertainment, 지니뮤직 &  Stone Music Entertainment, 가요 / 발라드, 04:35
BLUE, BIGBANG (빅뱅), TEDDY & G-DRAGON, TEDDY & G-DRAGON, TEDDY, 12060938, 13912, 2012.02.29, (주)YG엔터테인먼트, YG PLUS, 가요 / 랩/힙합, 03:53
