곡 명, 아티스트, 작곡가, 작사가, 편곡자, 스트리밍 수, 좋아요 수, 발매시점, 기획사, 발매사, 장르, 재생시간
내가 가면 반겨줄까, 정보영, 정보영, 정보영, 정보영, 59, , 2022.11.06, Luminant Entertainment, 주식회사 루미넌트엔터테인먼트, 가요 / 인디, 03:51
Good bye (Prod. by 윤범), 4&4, 윤범, 4&4, 윤범, 176, 2, 2022.11.06, AMC, 주식회사 루미넌트엔터테인먼트, 가요 / 랩/힙합, 03:24
LIMBO! (넘어와), NATURE (네이처), GLABINGO (글라빙고) & PiRi BOi (FAB) & 한혜지 (FAB) & RATEL, GLABINGO (글라빙고) & 한혜지 (FAB) & PiRi BOi (FAB) & RATEL, PiRi BOi (FAB) & 한혜지 (FAB) & GLABINGO (글라빙고), 4705, 95, 2022.11.06, n.CH엔터테인먼트, 지니뮤직 &  Stone Music Entertainment, 가요 / 댄스, 03:16
방금 네 전화번호를 지웠어 (2021), Willy Camper, Miler & Willy Camper, Willy Camper, Willy Camper, 59, 1, 2022.11.06, 에이티씨, 주식회사 루미넌트엔터테인먼트, 가요 / 랩/힙합, 02:33
잘 가 (Feat. Nieah), HAD, HAD & Nieah (니아), 03:20, HAD & Nieah (니아) & 이호성, 101, 7, 2022.11.06, wormzvilla, 비스킷 사운드, 가요 / 인디, 03:20
Lavender Haze, AMOS (아모스), AMOS1, AMOS1, , 88, , 2022.11.06, OWL Production, OZZ, 가요 / 댄스, 03:19
구해줘, 허각, 똘아이박 & 신현우, 신현우, 똘아이박, 65310, 348, 2022.11.06, (주)도너츠컬처, NHN벅스, 가요 / 발라드, 03:45
피날레, AnTasWell (앤타스웰), AnTasWell (앤타스웰), AnTasWell (앤타스웰), AnTasWell (앤타스웰), 62, 4, 2022.11.06, AnTasWell Entertainment, 주식회사 루미넌트엔터테인먼트, 가요 / 랩/힙합, 03:24
집, EL RUNE, EL RUNE & Sinclair, EL RUNE, Sinclair, 2742, 6, 2022.11.06, EL RUNE, 지니뮤직 &  Stone Music Entertainment, 가요 / 인디, 03:21
YEPPI, 장들레 & Sun The Lily (썬더릴리), 장들레 & Sun The Lily (썬더릴리), 장들레 & Sun The Lily (썬더릴리), 장들레 & Sun The Lily (썬더릴리), 2544, 18, 2022.11.06, 와우산레코드, 포크라노스, 가요 / 인디, 03:04
판단 (Prod. by Blue caramel), 조강윤, Blue caramel, 조강윤, 조강윤, 50, , 2022.11.06, , 뮤시아, 가요 / 랩/힙합, 02:13
꿈과 현실 사이, 꼬마견 (Ggomagyun), 꼬마견 (Ggomagyun), 꼬마견 (Ggomagyun), 꼬마견 (Ggomagyun), 351, 2, 2022.11.05, , 바른음원 협동조합, 가요 / 인디, 02:39
Disappear, Woo.K, Lizy, Lizy, Lizy, 535, 1, 2022.11.05, 컴앤컴, 아토엔터테인먼트, 가요 / R&B/소울, 02:50
Everybody's Changing, 하현상, , , , 15094, 235, 2022.11.05, JTBC, Dreamus, 가요 / 락, 04:05
않는 슬픔, 김제형, 김제형, 김제형, 양영호, 3144, 14, 2022.11.05, 아카이브아침, YG PLUS, 가요 / 인디, 03:58
차박, CobiCudi (코비쿠디), CobiCudi (코비쿠디), CobiCudi (코비쿠디), CobiCudi (코비쿠디), 3686, 16, 2022.11.05, NETM, 뮤직앤뉴, 가요 / R&B/소울, 03:30
퍼즐 조각, 조빈, 조빈 & 윤상미, 조빈, 박원준, 318, 1, 2022.11.05, 애프터문뮤직, NHN벅스, 가요 / 인디, 02:59
Why, Kyly (카일리), 김우관 & 서가연 & 이해민, 김우관, 김우관 & 서가연 & 이해민, 292, 2, 2022.11.05, 카일리, 오감엔터테인먼트, 가요 / 인디, 02:58
REAL LIFE (Prod. by Kelsy), PRESTON (프레스톤), Kelsy, PRESTON (프레스톤), Kelsy & PRESTON (프레스톤), 231, 2, 2022.11.05, PRESTON(프레스톤), 우조엔터테인먼트, 가요 / 인디, 03:25
소울메이트 (With 헨), 진섭, 진섭, 03:08, 진섭, 3749, 20, 2022.11.05, JIIIN, (주)퍼플파인엔터테인먼트, 가요 / 인디, 03:08
Monkey Hero (몽키 히어로), Maniac Kings (메니악킹즈), 류필현, 류필현 & 김태수 (멍키해드), 류필현 & PD-LeeNo (이재형), 170, , 2022.11.05, Brosda Label / 쏘울기획, 주식회사 이앤스토리뮤직, 가요 / 락, 05:03
아버지, 이루 (Eru), Famous Bro & HYMAX & 홍di, Famous Bro, HYMAX & 홍di, 6178, 37, 2022.11.05, 이루엔터테인먼트, 카카오엔터테인먼트, 가요 / 발라드, 03:39
